timestamp,open,high,low,close,volume,date,return_1d,return_3d,return_5d,clv,up_streak,down_streak,accel,target
1762819200,243.99,253.0,239.95,247.76,1551375,2025-11-11,0.019294853334430373,0.011884827445374668,-0.00048410521219943714,0.19693486590038245,2,0,0.016903002124071254,1
1762905600,247.49,251.05,246.0,249.04,713648,2025-11-12,0.0051662899580238175,0.027011423151469982,0.003910186640867508,0.2039603960395981,3,0,-0.014128563376406555,0
1762992000,250.0,250.24,245.0,245.25,500921,2025-11-13,-0.01521843880501117,0.008968609865470878,0.0016336532570961904,-0.9045801526717558,0,1,-0.020384728763034987,1
1763078400,244.97,248.59,243.3,246.32,337725,2025-11-14,0.004362895005096901,-0.005812076202776906,0.015794465751164832,0.14177693761814228,1,0,0.01958133381010807,1
1763337600,247.0,254.8,246.0,252.5,1422760,2025-11-17,0.025089314712569033,0.013893350465788767,0.03879540872999554,0.47727272727272535,2,0,0.020726419707472132,0
1763424000,251.5,252.1,247.5,251.39,608860,2025-11-18,-0.0043960396039604,0.025035677879714502,0.014651275427833399,0.6913043478260831,0,1,-0.029485354316529433,0
1763510400,252.0,252.0,249.3,249.69,285257,2025-11-19,-0.0067624010501610154,0.01368139006170832,0.002610022486347674,-0.71111111111112,0,2,-0.0023663614462006155,0
1763596800,249.0,250.5,247.0,247.61,297540,2025-11-20,-0.008330329608714715,-0.019366336633663273,0.00962283384301732,-0.6514285714285636,0,3,-0.0015679285585536995,0
1763683200,247.61,259.7,245.1,246.83,7908567,2025-11-21,-0.003150115100359452,-0.018139146346314416,0.0020704774277362503,-0.7630136986301344,0,4,0.005180214508355263,0
1763942400,246.5,246.88,243.0,245.32,565116,2025-11-24,-0.006117570797715133,-0.01750170211061719,-0.02843564356435646,0.1958762886597917,0,5,-0.002967455697355681,0
1764028800,244.39,244.51,233.59,236.64,1459400,2025-11-25,-0.035382357736833514,-0.04430354186018348,-0.058673773817574326,-0.4413919413919439,0,6,-0.02926478693911838,1
1764115200,238.0,242.97,236.7,239.53,394664,2025-11-26,0.012212643678160884,-0.029575011141271368,-0.04069045616564537,-0.09728867623604213,1,0,0.0475950014149944,0
1764201600,240.2,242.7,237.5,238.15,350548,2025-11-27,-0.005761282511585142,-0.029227131909342896,-0.038205242114615734,-0.7499999999999972,0,1,-0.017973926189746026,0
1764288000,238.15,238.8,235.5,237.03,336720,2025-11-28,-0.0047029183287844445,0.0016480730223125128,-0.039703439614309444,-0.07272727272727524,0,2,0.0010583641828006973,0
1764547200,237.68,238.38,230.05,230.69,820862,2025-12-01,-0.02674766907142556,-0.03690560681334276,-0.05963639328224357,-0.8463385354141687,0,3,-0.022044750742641117,0
1764633600,230.69,231.4,228.56,230.12,362869,2025-12-02,-0.0024708483245914348,-0.03371824480369512,-0.027552400270452915,0.09859154929577493,0,4,0.024276820746834127,1
1764720000,230.12,235.06,230.12,231.63,366436,2025-12-03,0.006561793846688646,-0.02278192633843823,-0.03298125495762538,-0.3886639676113394,1,0,0.00903264217128008,0
1764806400,230.6,231.88,229.0,229.26,225016,2025-12-04,-0.010231835254500776,-0.006198794919589079,-0.03732941423472602,-0.8194444444444505,0,1,-0.016793629101189422,1
1764892800,229.2,230.72,227.12,229.46,288550,2025-12-05,0.0008723719794121454,-0.002868068833651982,-0.031936885626292044,0.30000000000000393,1,0,0.011104207233912922,0
1765152000,228.99,229.46,221.03,222.36,498737,2025-12-08,-0.030942212150265824,-0.04002072270431278,-0.03610906411201176,-0.6844602609727137,0,1,-0.03181458412967797,1
1765238400,221.15,230.8,217.12,228.22,804997,2025-12-09,0.026353660730347173,-0.004536334292942423,-0.008256561793846706,0.622807017543858,1,0,0.057295872880613,0
1765324800,228.22,229.35,223.0,223.97,307178,2025-12-10,-0.01862238191219001,-0.02392573869083936,-0.03306998229935676,-0.694488188976378,0,1,-0.044976042642537184,1
1765411200,223.9,227.0,220.63,225.89,463430,2025-12-11,0.008572576684377387,0.0158751574024103,-0.014699467853092618,0.651491365777076,1,0,0.027194958596567398,1
1765497600,226.5,227.69,225.6,227.24,307101,2025-12-12,0.005976360175306672,-0.004294102182104909,-0.009674888869519727,0.5693779904306336,2,0,-0.0025962165090707146,1
1765756800,226.41,229.38,225.17,228.5,287594,2025-12-15,0.005544798450976884,0.020225923114702837,0.027612880014391106,0.5819477434679364,3,0,-0.00043156172432978757,0
1765843200,228.0,228.1,224.16,225.14,203465,2025-12-16,-0.01470459518599565,-0.003320200097392534,-0.013495749715187189,-0.5025380710659948,0,1,-0.020249393636972535,0
1765929600,224.2,225.92,222.25,223.21,247906,2025-12-17,-0.008572443812738695,-0.017734553775743733,-0.0033933116042326184,-0.4768392370572146,0,2,0.0061321513732569555,0
1766016000,223.25,223.41,220.05,222.66,180939,2025-12-18,-0.002464047309708395,-0.025557986870897165,-0.014298995086103772,0.5535714285714266,0,3,0.0061083965030303,1
1766102400,223.49,227.6,222.71,226.55,271775,2025-12-19,0.017470582951585545,0.006262769832104498,-0.0030364372469635637,0.5705521472392696,1,0,0.01993463026129394,1
1766361600,230.0,234.9,229.45,232.6,1294950,2025-12-22,0.0267049216508497,0.04206800770574781,0.01794310722100656,0.15596330275229206,2,0,0.009234338699264155,1
1766448000,235.99,252.28,234.5,241.95,9065054,2025-12-23,0.04019776440240763,0.08663433036917279,0.0746646531047348,-0.16197975253093497,3,0,0.013492842751557932,1
1766534400,242.67,246.5,240.82,242.6,1151718,2025-12-24,0.002686505476338086,0.07084528801589052,0.08686886788226333,-0.37323943661971865,4,0,-0.037511258926069546,1
1766707200,242.2,257.38,240.85,252.65,6686823,2025-12-26,0.0414262159934049,0.08619948409286327,0.13468966136710692,0.42770719903206417,5,0,0.03873971051706682,0
1766966400,254.0,254.9,243.84,245.02,1198576,2025-12-29,-0.030199881258658245,0.01268857201901219,0.0815272566762304,-0.7866184448462917,0,1,-0.07162609725206315,0
1767052800,243.26,246.8,236.8,237.27,1333081,2025-12-30,-0.031630071014611016,-0.02197032151690015,0.020077386070507464,-0.9060000000000002,0,2,-0.001430189755952771,1
1767139200,241.9,254.75,240.09,242.81,10680565,2025-12-31,0.023348927382307094,-0.03894716010290922,0.003554453399462698,-0.6289222373806276,1,0,0.05497899839691811,1
1767225600,243.0,245.0,241.22,243.25,837633,2026-01-01,0.0018121164696676129,-0.007223900089788682,0.0026793075020610235,0.07407407407407435,2,0,-0.02153681091263948,1
1767312000,243.29,246.85,241.05,245.88,933297,2026-01-02,0.010811921891058507,0.03628777342268297,-0.02679596279437957,0.6655172413793098,3,0,0.008999805421390894,0
1767571200,246.4,247.39,242.3,244.58,575835,2026-01-05,-0.0052871319342767675,0.007289650343890397,-0.0017957717737328016,-0.10412573673869849,0,1,-0.016099053825335274,0
1767657600,244.38,247.0,241.0,242.53,730374,2026-01-06,-0.008381715594079742,-0.0029599177800616605,0.02216883718969953,-0.4899999999999996,0,2,-0.003094583659802974,1
1767744000,241.5,243.82,240.7,242.74,427920,2026-01-07,0.0008658722632250981,-0.012770457133561064,-0.0002882912565379536,0.3076923076923189,1,0,0.00924758785730484,0
1767830400,242.14,242.6,235.6,236.61,569746,2026-01-08,-0.025253357501853868,-0.03258647477308041,-0.02729701952723529,-0.7114285714285659,0,1,-0.026119229765078966,0
